Company,Weight
"GoDaddy, Inc. Class A (a)",0.04541
"Zimmer Biomet Holdings, Inc.",0.04516
"Cooper Cos., Inc. (a)",0.04513
"Leidos Holdings, Inc.",0.04511
"Teradyne, Inc.",0.0449
"West Pharmaceutical Services, Inc.",0.04474
EQT Corp.,0.04471
"Corpay, Inc. (a)",0.04462
"PTC, Inc. (a)",0.04459
Kellanova,0.04448
Atmos Energy Corp.,0.04423
"Cboe Global Markets, Inc.",0.04405
Waters Corp. (a),0.04389
Regions Financial Corp.,0.04386
Cincinnati Financial Corp.,0.04369
CMS Energy Corp.,0.04335
"Super Micro Computer, Inc. (a)",0.04309
"McCormick & Co., Inc.",0.04262
Ball Corp.,0.04235
"Teledyne Technologies, Inc. (a)",0.04209
"Best Buy Co., Inc.",0.04166
"Omnicom Group, Inc.",0.04155
"Molina Healthcare, Inc. (a)",0.04149
Clorox Co.,0.04145
"Invitation Homes, Inc. REIT",0.04127
Synchrony Financial,0.0405
Genuine Parts Co.,0.03998
"Darden Restaurants, Inc.",0.03995
"Baxter International, Inc.",0.03981
Packaging Corp. of America,0.03947
"CenterPoint Energy, Inc.",0.03939
Aptiv PLC (a),0.03932
Zebra Technologies Corp. Class A (a),0.03923
"Essex Property Trust, Inc. REIT",0.03897
"Hologic, Inc. (a)",0.03887
"NRG Energy, Inc.",0.03863
"United Airlines Holdings, Inc. (a)",0.03855
"Labcorp Holdings, Inc.",0.03854
Carnival Corp. (a),0.03835
Dollar General Corp.,0.03821
"Mid-America Apartment Communities, Inc. REIT",0.03816
"Ulta Beauty, Inc. (a)",0.03814
"Expeditors International of Washington, Inc.",0.0381
"Alexandria Real Estate Equities, Inc. REIT",0.03798
"Expedia Group, Inc. (a)",0.0379
"Citizens Financial Group, Inc.",0.03782
"Warner Bros Discovery, Inc. (a)",0.03782
Masco Corp.,0.03764
"Principal Financial Group, Inc.",0.0376
Northern Trust Corp.,0.0373
"Steel Dynamics, Inc.",0.03718
"Align Technology, Inc. (a)",0.03668
Las Vegas Sands Corp.,0.03656
Avery Dennison Corp.,0.03651
Southwest Airlines Co.,0.03647
"Coterra Energy, Inc.",0.03638
"FactSet Research Systems, Inc.",0.03592
"Quest Diagnostics, Inc.",0.03551
"Live Nation Entertainment, Inc. (a)",0.03523
W.R. Berkley Corp.,0.03504
"Tyson Foods, Inc. Class A",0.03497
International Paper Co.,0.03486
Everest Group Ltd.,0.03486
"Stanley Black & Decker, Inc.",0.03484
"Textron, Inc.",0.03409
"Jacobs Solutions, Inc.",0.03368
Amcor PLC,0.03364
Insulet Corp. (a),0.03352
IDEX Corp.,0.03337
Pentair PLC,0.03325
"Healthpeak Properties, Inc. REIT",0.03307
"VeriSign, Inc. (a)",0.03275
"Skyworks Solutions, Inc.",0.03241
"Revvity, Inc.",0.03238
Kimco Realty Corp. REIT,0.03216
"Conagra Brands, Inc.",0.03199
Alliant Energy Corp.,0.03198
KeyCorp,0.03194
"NiSource, Inc.",0.03193
"CF Industries Holdings, Inc.",0.0318
"Enphase Energy, Inc. (a)",0.03145
"Akamai Technologies, Inc. (a)",0.03142
"Snap-on, Inc.",0.03136
"Trimble, Inc. (a)",0.03115
"Domino's Pizza, Inc.",0.03093
Marathon Oil Corp.,0.0306
"Gen Digital, Inc.",0.03052
Celanese Corp.,0.03051
Pool Corp.,0.02964
Loews Corp.,0.02959
Nordson Corp.,0.02935
AES Corp.,0.0293
"Evergy, Inc.",0.0293
"Rollins, Inc.",0.02919
"Dollar Tree, Inc. (a)",0.02919
"JB Hunt Transport Services, Inc.",0.02852
"Viatris, Inc.",0.02847
Bunge Global SA,0.02812
"Universal Health Services, Inc. Class B",0.02798
"UDR, Inc. REIT",0.02796
"Jabil, Inc.",0.02793
Erie Indemnity Co. Class A,0.02768
Camden Property Trust REIT,0.02707
Eastman Chemical Co.,0.02689
"CH Robinson Worldwide, Inc.",0.02659
J.M. Smucker Co.,0.02648
"Jack Henry & Associates, Inc.",0.02644
"Juniper Networks, Inc.",0.02636
"F5, Inc. (a)",0.02636
Allegion PLC,0.02608
Bio-Techne Corp.,0.02588
"Host Hotels & Resorts, Inc. REIT",0.0254
"CarMax, Inc. (a)",0.02481
"Interpublic Group of Cos., Inc.",0.02441
Regency Centers Corp. REIT,0.02424
"BXP, Inc. REIT",0.02402
"Teleflex, Inc.",0.02395
"EPAM Systems, Inc. (a)",0.02329
Albemarle Corp.,0.02287
"Catalent, Inc. (a)",0.02252
"Tapestry, Inc.",0.02222
A.O. Smith Corp.,0.02214
Incyte Corp. (a),0.02171
LKQ Corp.,0.02159
"Huntington Ingalls Industries, Inc.",0.0213
"Assurant, Inc.",0.02117
"Charles River Laboratories International, Inc. (a)",0.02089
Molson Coors Beverage Co. Class B,0.02076
News Corp. Class A,0.0207
Pinnacle West Capital Corp.,0.02067
"Qorvo, Inc. (a)",0.02013
